sampleID	projectID	Race	Continent
ERR3471124	PRJEB33905	Korean	Asia
ERR3471125	PRJEB33905	Korean	Asia
ERR3471126	PRJEB33905	Korean	Asia
ERR3471127	PRJEB33905	Korean	Asia
ERR3471128	PRJEB33905	Korean	Asia
ERR3471129	PRJEB33905	Korean	Asia
ERR3471130	PRJEB33905	Korean	Asia
ERR3471131	PRJEB33905	Korean	Asia
ERR3471132	PRJEB33905	Korean	Asia
ERR3471133	PRJEB33905	Korean	Asia
ERR3471134	PRJEB33905	Korean	Asia
ERR3471135	PRJEB33905	Korean	Asia
ERR3471136	PRJEB33905	Korean	Asia
ERR3471137	PRJEB33905	Korean	Asia
ERR3471138	PRJEB33905	Korean	Asia
ERR3471139	PRJEB33905	Korean	Asia
ERR3471140	PRJEB33905	Korean	Asia
ERR3471141	PRJEB33905	Korean	Asia
ERR3471142	PRJEB33905	Korean	Asia
ERR3471143	PRJEB33905	Korean	Asia
ERR3471144	PRJEB33905	Korean	Asia
ERR3471145	PRJEB33905	Korean	Asia
ERR3471146	PRJEB33905	Korean	Asia
ERR3471147	PRJEB33905	Korean	Asia
ERR3471148	PRJEB33905	Korean	Asia
ERR3471149	PRJEB33905	Korean	Asia
ERR3471150	PRJEB33905	Korean	Asia
ERR3471151	PRJEB33905	Korean	Asia
ERR3471152	PRJEB33905	Korean	Asia
ERR3471153	PRJEB33905	Korean	Asia
ERR3471154	PRJEB33905	Korean	Asia
ERR3471155	PRJEB33905	Korean	Asia
ERR3471156	PRJEB33905	Korean	Asia
ERR3471157	PRJEB33905	Korean	Asia
ERR3471158	PRJEB33905	Korean	Asia
ERR3471159	PRJEB33905	Korean	Asia
ERR3471160	PRJEB33905	Korean	Asia
ERR3471161	PRJEB33905	Korean	Asia
ERR3471162	PRJEB33905	Korean	Asia
ERR3471163	PRJEB33905	Korean	Asia
ERR3471164	PRJEB33905	Korean	Asia
ERR3471165	PRJEB33905	Korean	Asia
ERR3471166	PRJEB33905	Korean	Asia
ERR3471167	PRJEB33905	Korean	Asia
ERR3471168	PRJEB33905	Korean	Asia
ERR3471169	PRJEB33905	Korean	Asia
ERR3471170	PRJEB33905	Korean	Asia
ERR3471171	PRJEB33905	Korean	Asia
ERR3471172	PRJEB33905	Korean	Asia
ERR3471173	PRJEB33905	Korean	Asia
ERR3471174	PRJEB33905	Korean	Asia
ERR3471175	PRJEB33905	Korean	Asia
ERR3471176	PRJEB33905	Korean	Asia
ERR3471177	PRJEB33905	Korean	Asia
ERR3471178	PRJEB33905	Korean	Asia
ERR3471179	PRJEB33905	Korean	Asia
ERR3471180	PRJEB33905	Korean	Asia
ERR3471181	PRJEB33905	Korean	Asia
ERR3471182	PRJEB33905	Korean	Asia
ERR3471183	PRJEB33905	Korean	Asia
ERR3471184	PRJEB33905	Korean	Asia
ERR3471185	PRJEB33905	Korean	Asia
ERR3471186	PRJEB33905	Korean	Asia
ERR3471187	PRJEB33905	Korean	Asia
ERR3471188	PRJEB33905	Korean	Asia
ERR3471189	PRJEB33905	Korean	Asia
ERR3471190	PRJEB33905	Korean	Asia
ERR3471191	PRJEB33905	Korean	Asia
ERR3471192	PRJEB33905	Korean	Asia
ERR3471193	PRJEB33905	Korean	Asia
ERR3471194	PRJEB33905	Korean	Asia
ERR3471195	PRJEB33905	Korean	Asia
ERR3471196	PRJEB33905	Korean	Asia
ERR3471197	PRJEB33905	Korean	Asia
ERR3471198	PRJEB33905	Korean	Asia
ERR3471199	PRJEB33905	Korean	Asia
ERR3471200	PRJEB33905	Korean	Asia
ERR3471201	PRJEB33905	Korean	Asia
ERR3471202	PRJEB33905	Korean	Asia
ERR3471203	PRJEB33905	Korean	Asia
ERR3471204	PRJEB33905	Korean	Asia
ERR3471205	PRJEB33905	Korean	Asia
ERR3471206	PRJEB33905	Korean	Asia
ERR3471207	PRJEB33905	Korean	Asia
ERR3471208	PRJEB33905	Korean	Asia
ERR3471209	PRJEB33905	Korean	Asia
ERR3471210	PRJEB33905	Korean	Asia
ERR3471211	PRJEB33905	Korean	Asia
ERR3471212	PRJEB33905	Korean	Asia
ERR3471213	PRJEB33905	Korean	Asia
ERR3471214	PRJEB33905	Korean	Asia
ERR3471215	PRJEB33905	Korean	Asia
ERR3471216	PRJEB33905	Korean	Asia
ERR3471217	PRJEB33905	Korean	Asia
